,address,postal_code,lat,long
0,0048 Comox & Broughton,V6E4E1,49.285082,-123.1341942
1,0002 Burrard Station,V6C0A4,49.285871,-123.12105
2,0093 Chilco & Robson,V6G1E8,49.2932569,-123.138563
3,0035 Coal Harbour Community Centre,V6C3S3,49.290419,-123.12581
4,0071 14th & Granville,V6J2J4,49.2592148,-123.142312
5,0211 14th & Alder,V6H4C3,49.258819,-123.1313169
6,0187 Bute & Davie,V6E1Z7,49.28222400000001,-123.132778
7,0079 Nelson & Richards,V6B1G2,49.27784399999999,-123.1209419
8,0114 Cypress & 14th,V6J2J8,49.2591899,-123.148268
9,0068 Cypress & Broadway,V6J3N2,49.263507,-123.148097
10,0036 Bute & Robson,V6E1C2,49.28590800000001,-123.1271193
11,0032 Comox & Denman,V6G1P6,49.288444,-123.139203
12,0024 Hornby & Pender,V6C3J1,49.28602,-123.116624
13,0037 Hornby & Nelson,V6Z2E1,49.28062000000001,-123.12482
14,0099 Vancouver Art Gallery - North Plaza,V6Z2H7,49.28322689999999,-123.120523
15,0016 Pender & Burrard,V6E3X2,49.287097,-123.1185511
16,0030 Abbott & Cordova,V6B0G6,49.28275899999999,-123.106955
17,0025 Homer & Robson,V6B6B3,49.27973899999999,-123.116251
18,0009 Spyglass & Seawall,V5Z4K7,49.270877,-123.115103
19,0066 Anderson & 2nd,V6H,49.269361,-123.13782
20,35-0601 Olympic Village Station,V5Z,49.26654,-123.11562
21,0108 1st & Chestnut,V6J,49.270721,-123.146175
22,0019 Robson & Hornby,V6Z2E7,49.282758,-123.122092
23,0027 Beatty & Nelson,V6Z3C5,49.27557590000001,-123.1170684
24,0087 Broughton & Burnaby,V6G2B4,49.28329,-123.137034
25,0198 6th & Main,V3N2S2,49.21888750000001,-122.9281479
26,0001 10th & Cambie,V5Y1R3,49.26248700000001,-123.114397
27,0053 Keefer & Abbott,V6B6B9,49.279821,-123.10802
28,0204 York & Yew,V6K3E6,49.2717008,-123.1550159
29,0076 Cypress & 4th,V6J1M4,49.2682689,-123.147885
30,0159 Vine & 4th,V6K1N9,49.268339,-123.157443
31,0196 Drake & Hornby,V6Z0C5,49.277213,-123.1296251
32,0105 Stanley Park - Totem Poles,V6G,49.29865699999999,-123.121176
33,0209 Stanley Park - Information Booth,V6G3E2,49.2977694,-123.1314775
34,0010 Stamp's Landing,V5Z3Z1,49.26861299999999,-123.118186
35,0017 Marinaside & Davie,V6Z,49.273471,-123.118016
36,0039 Helmcken & Burrard,V6Z1Y6,49.2801491,-123.127601
37,0058 Homer & Smithe,V6B1T7,49.27828299999999,-123.118612
38,0208 Arbutus Greenway & Broadway,V6J0C7,49.263649,-123.152421
39,0113 Arbutus & 16th,V6J3Z3,49.257654,-123.153212
40,0028 Davie & Beach,V6G,49.28752799999999,-123.142139
41,0083 Aquatic Centre,V6E1T7,49.27820999999999,-123.136972
42,0212 Union & Gore,V6A,49.27761479999999,-123.0969761
43,0096 Nicola & Robson,V6G2C3,49.2880252,-123.1320111
44,0082 Richards & Davie,V6B,49.276153,-123.123889
45,0104 Stanley Park - Second Beach South,V6G3E2,49.2943179,-123.148808
46,0004 Yaletown-Roundhouse Station,V6B0H8,49.27456600000001,-123.121817
47,0011 Ontario & Seawall,V5Y,49.271721,-123.1042071
48,0008 8th & Ash,V5Z3C3,49.264215,-123.117772
49,0055 Keefer & Columbia,V6A1X4,49.279342,-123.101822
50,0050 Bute & Comox,V6E1K6,49.283343,-123.1310991
51,0031 Morton & Denman,V6G2M9,49.28757530000001,-123.141329
52,0172 10th & Columbia,V5Y3E9,49.262206,-123.1090909
53,0015 Granville & Georgia,V7Y1K8,49.282409,-123.118541
54,0129 Richards & Robson,V6B1A6,49.2803449,-123.1176329
