,Segment Length,Coordinates
0,51.96821986,"[[-123.16442259808059, 49.27098882166678], [-123.16443997411137, 49.270521535083525], [-123.16443995749306, 49.27052149822687]]"
1,45.83681552,"[[-123.11560557306433, 49.258742232985036], [-123.11623532745797, 49.25875243138203]]"
2,101.71293391,"[[-123.09276021272697, 49.2839689569251], [-123.09136217475732, 49.28394349000195]]"
3,64.55169533,"[[-123.11461277440513, 49.26673690338521], [-123.11461283348979, 49.26673689433137], [-123.11481910355232, 49.26664377000471], [-123.11487939261373, 49.2666165670565], [-123.11534312729567, 49.266407244561734], [-123.11534317260296, 49.266407222028484]]"
4,57.2024899,"[[-123.04890384831059, 49.24247710515205], [-123.04933439046883, 49.2420466421032]]"
5,13.22659234,"[[-123.05214953995456, 49.239757043617146], [-123.0522474136225, 49.23965680139774]]"
6,51.40198012,"[[-123.05166223060075, 49.232239578056], [-123.05165453856048, 49.23177723175223]]"
7,48.04743118,"[[-123.07989107047985, 49.21153590159226], [-123.07989930556214, 49.21110377670974], [-123.07989931236048, 49.21110373532673]]"
8,409.12159835,"[[-123.15558343545575, 49.210727602616316], [-123.15548582957899, 49.210727734045186], [-123.15546738925799, 49.21072654450196], [-123.15546109691935, 49.2107261391875], [-123.15543735647638, 49.21072133167038], [-123.15541690360055, 49.210714090996284], [-123.15539888712458, 49.21070444529806], [-123.15424159146605, 49.20997339651557], [-123.15352791489427, 49.209534885883045], [-123.15351763108552, 49.20952857586046], [-123.153189480075, 49.20932754215025], [-123.15313199800487, 49.209299383943815], [-123.15306653674398, 49.20928023787273], [-123.15306649964097, 49.20928022712756], [-123.1529280283181, 49.209238228912895], [-123.15285839520834, 49.209203180070496], [-123.15282858744352, 49.20918817668393], [-123.15277175496875, 49.209114955514764], [-123.1527474900425, 49.209064349499165], [-123.15271461633205, 49.20901582737592], [-123.15268497231406, 49.20898439563026], [-123.15268494340194, 49.20898436958209], [-123.15264807595891, 49.20895637907956], [-123.1524824889921, 49.20889032136588], [-123.15224145439359, 49.20881374483587], [-123.15214751536513, 49.20878392327793], [-123.15205475477748, 49.208739887527365], [-123.15199072359991, 49.20867764520642], [-123.1516095460004, 49.20824920553069]]"
9,89.80035488,"[[-123.11368594235667, 49.26223252567208], [-123.1149198113581, 49.2622522368631]]"
10,1487.40551621,"[[-123.14068071076476, 49.31319293200758], [-123.140457907501, 49.31315585432276], [-123.14010926925178, 49.313113558736006], [-123.13982789656666, 49.31302711448964], [-123.13957594871536, 49.31283460302338], [-123.1394388743175, 49.31266389518444], [-123.13927770474933, 49.31235606925095], [-123.13902311969974, 49.31194996853269], [-123.13867569702367, 49.31160989949056], [-123.13826292220702, 49.31126487121323], [-123.13765365038975, 49.31071035231307], [-123.13731796083886, 49.31029912802482], [-123.13721877381128, 49.310203467441], [-123.13678620665726, 49.30987257697365], [-123.13668296528665, 49.30974589290242], [-123.1366132934875, 49.30961656226862], [-123.13653127553722, 49.30928786359271], [-123.13644773780565, 49.30914820662167], [-123.13637010173423, 49.30900980104284], [-123.1361417469562, 49.308721384855275], [-123.1358834746153, 49.30840197735567], [-123.13579395940145, 49.308232558411184], [-123.13572218685303, 49.308038477276405], [-123.13560977342863, 49.30750278773785], [-123.13561940497517, 49.30737462179273], [-123.13565081574448, 49.30728788977779], [-123.13567634876662, 49.30720889867437], [-123.13568942571042, 49.30712966852673], [-123.13569386676285, 49.30710275705147], [-123.13564808354164, 49.30703679996802], [-123.13555290829521, 49.30695273422585], [-123.1354717976806, 49.30692618932909], [-123.1354141653603, 49.306907570369944], [-123.13527954754107, 49.30687670109214], [-123.13526690275182, 49.306874308793645], [-123.13507548442516, 49.30683808887351], [-123.13484383244662, 49.30676006569962], [-123.13484238804844, 49.306759578948856], [-123.13436445399218, 49.306543035203966], [-123.13434936751395, 49.306535066857876], [-123.1341678287837, 49.306439213257796], [-123.13386264603236, 49.30629720286814], [-123.13365445526877, 49.30619905768065], [-123.13332116832167, 49.30605143030646], [-123.13332113112847, 49.30605141145956], [-123.13332094512604, 49.30605130373244], [-123.13322682984035, 49.30599594283171], [-123.13304948214595, 49.30580791661987], [-123.13304034146424, 49.305799386256254], [-123.13291472501135, 49.30568216579097], [-123.1328426443152, 49.305610924393285], [-123.13262697863395, 49.305397767757015], [-123.1321763330292, 49.30489609785108], [-123.13142166320165, 49.303952031308285], [-123.13148451226827, 49.3037850432244], [-123.1314525012869, 49.30376595866207], [-123.13091846963644, 49.30344757815643], [-123.13091795022594, 49.303447268412334], [-123.13066909224405, 49.30317903598784], [-123.13066905916877, 49.30317901263787], [-123.13029040756668, 49.30299309582595], [-123.12990553168231, 49.30285584130746], [-123.12964444991012, 49.30279070380179]]"
11,50.14652969,"[[-123.06196480542383, 49.26546966249899], [-123.06195610592941, 49.265920704543355]]"
12,45.89478174,"[[-123.0618629248805, 49.27082037712296], [-123.06185414549815, 49.271233169424754]]"
13,80.77782411,"[[-123.13679574724635, 49.29485872468265], [-123.13679568958965, 49.29485876343015], [-123.13671629694123, 49.294910875487325], [-123.1365850037404, 49.29499705054316], [-123.13655251408862, 49.29501244367471], [-123.13637349237152, 49.295097263537095], [-123.13620118493978, 49.29516029792965], [-123.13599607724585, 49.29520908635894], [-123.13594809746576, 49.29521671943518], [-123.13586437852962, 49.29523003088153]]"
14,60.38224294,"[[-123.12062622921668, 49.241708008285215], [-123.12062623051386, 49.241707976800555], [-123.12064473260072, 49.24116502540302], [-123.12064474900785, 49.241164993003025]]"
15,48.56991827,"[[-123.12052134146384, 49.244786667064204], [-123.12052134272395, 49.244786620287684], [-123.12053636712385, 49.24434988048772]]"
16,93.23903495,"[[-123.14803224138657, 49.26633954246587], [-123.14804799228895, 49.265920119091014], [-123.14806430220249, 49.26550110244976]]"
17,118.88404241,"[[-123.0839993977997, 49.24354628729733], [-123.08398957402792, 49.243912239539696], [-123.08396969612856, 49.24461549969345]]"
18,33.0197632,"[[-123.08400736964744, 49.24324931275463], [-123.0839993977997, 49.24354628729733]]"
19,75.00136145,"[[-123.10472471913906, 49.25466766408154], [-123.10474735019517, 49.25421718632293], [-123.10475684083983, 49.25399334064409]]"
20,57.41276405,"[[-123.10478988887267, 49.25326820226877], [-123.10478987505289, 49.253268165400875], [-123.10481314362912, 49.25275201371869], [-123.1048131600695, 49.252751990316206]]"
21,14.89965702,"[[-123.07365534541272, 49.261082154469946], [-123.07365819855094, 49.26094818520659], [-123.0736581971123, 49.26094814203046]]"
22,40.09517487,"[[-123.07408577655474, 49.28114708224329], [-123.07408863794589, 49.28078645923909], [-123.07408864201815, 49.280786424155316]]"
23,50.21096593,"[[-123.07346570991427, 49.27098860190792], [-123.07347444880695, 49.27053698096292]]"
