,Latitude,Longitude
0,49.249783,-123.15525
1,49.247723,-123.168194
2,49.278923,-123.1055
3,49.273253,-123.1139
4,49.294353,-123.134654
5,49.285911,-123.120948
6,49.274814,-123.119555
7,49.275188,-123.132046
8,49.249092,-123.192177
9,49.252391,-123.1764
10,49.267284,-123.13754
11,49.264868,-123.122031
12,49.268974,-123.073923
13,49.268159,-123.058994
14,49.273323,-123.074121
15,49.278279,-123.058646
16,49.276381,-123.025811
17,49.292443,-123.024336
18,49.286214,-123.045363
19,49.270355,-123.0509
20,49.282256,-123.039776
21,49.268829,-123.028552
22,49.249576,-123.082823
23,49.255808,-123.062242
24,49.235945,-123.067051
25,49.231959,-123.176845
26,49.223703,-123.16013
27,49.220813,-123.170066
28,49.21912,-123.033713
29,49.212251,-123.047869
30,49.207509,-123.036128
31,49.275353,-123.152513
32,49.273431,-123.153901
33,49.272089,-123.167454
34,49.272583,-123.166128
35,49.273329,-123.164637
36,49.277049,-123.143159
37,49.271635,-123.169243
38,49.215497,-123.128319
39,49.264334,-123.108174
40,49.255546,-123.051302
41,49.236236,-123.029179
42,49.252129,-123.042896
43,49.237598,-123.097473
44,49.242653,-123.106679
45,49.255715,-123.135068
46,49.282645,-123.094313
47,49.229748,-123.098396
48,49.215602,-123.086219
49,49.222561,-123.096916
50,49.215075,-123.057615
51,49.229752,-123.069846
52,49.28768,-123.141955
53,49.282855,-123.129558
54,49.302701,-123.144307
55,49.277063,-123.216909
56,49.266301,-123.204312
57,49.271852,-123.214423
58,49.238445,-123.125795
59,49.234765,-123.027446
60,49.205468,-123.132836
61,49.266401,-123.090778
62,49.27221,-123.110791
63,49.288336,-123.036982
64,49.256555,-123.171406
65,49.247623,-123.169948
66,49.240902,-123.155935
67,49.244396,-123.165105
68,49.292211,-123.128206
69,49.290263,-123.121924
70,49.292334,-123.131296
71,49.281699,-123.104588
72,49.284942,-123.102377
73,49.282218,-123.110133
74,49.284296,-123.099666
75,49.244951,-123.175247
76,49.255575,-123.178934
77,49.243326,-123.188166
78,49.266995,-123.1242
79,49.258105,-123.142395
80,49.268871,-123.134832
81,49.282533,-123.058045
82,49.277291,-123.067926
83,49.289561,-123.059459
84,49.271694,-123.06673
85,49.263034,-123.072931
86,49.291253,-123.050513
87,49.273407,-123.027661
88,49.292113,-123.047643
89,49.280637,-123.038884
90,49.260807,-123.076605
91,49.238478,-123.075308
92,49.254924,-123.080752
93,49.21659,-123.15513
94,49.233847,-123.163488
95,49.233094,-123.158043
96,49.226973,-123.164155
97,49.210985,-123.036321
98,49.227998,-123.04413
99,49.220024,-123.028777
100,49.265808,-123.152426
101,49.271913,-123.179433
102,49.271554,-123.145967
103,49.270068,-123.169609
104,49.206517,-123.129241
105,49.205507,-123.138307
106,49.212238,-123.147342
107,49.206787,-123.142733
108,49.264901,-123.083355
109,49.261581,-123.079352
110,49.26158,-123.107238
111,49.25696,-123.106743
112,49.258229,-123.091798
113,49.257091,-123.098595
114,49.221411,-123.117988
115,49.231521,-123.111978
116,49.221371,-123.11211
117,49.242002,-123.030451
118,49.233476,-123.047702
119,49.256485,-123.031631
120,49.234046,-123.028741
121,49.236117,-123.031094
122,49.243921,-123.047574
123,49.244734,-123.108417
124,49.2512273,-123.0971535
125,49.240978,-123.112028
126,49.241987,-123.104361
127,49.253932,-123.143816
128,49.24502,-123.13364
129,49.247615,-123.12363
130,49.252493,-123.122225
131,49.254765,-123.121103
132,49.275276,-123.084674
133,49.273946,-123.099212
134,49.205532,-123.056883
135,49.227724,-123.057508
136,49.205951,-123.04575
137,49.28546,-123.14223
138,49.28718,-123.132167
139,49.215746,-123.040816
140,49.281211,-123.139681
