,Geographic code,"Population, 2016"
0,V0A,13920.0
1,V0B,33080.0
2,V0C,28830.0
3,V0E,65606.0
4,V0G,26047.0
5,V0H,53380.0
6,V0J,52919.0
7,V0K,32908.0
8,V0L,4577.0
9,V0M,11761.0
10,V0N,79501.0
11,V0P,6726.0
12,V0R,66795.0
13,V0S,266.0
14,V0T,8645.0
15,V0V,2033.0
16,V0W,557.0
17,V0X,20629.0
18,V1A,8414.0
19,V1B,21395.0
20,V1C,25413.0
21,V1E,19344.0
22,V1G,15676.0
23,V1H,13427.0
24,V1J,23782.0
25,V1K,9265.0
26,V1L,16801.0
27,V1M,31176.0
28,V1N,12546.0
29,V1P,8028.0
30,V1R,10021.0
31,V1S,11279.0
32,V1T,27997.0
33,V1V,21155.0
34,V1W,34573.0
35,V1X,33273.0
36,V1Y,34310.0
37,V1Z,14368.0
38,V2A,37469.0
39,V2B,39843.0
40,V2C,23661.0
41,V2E,14672.0
42,V2G,17970.0
43,V2H,6201.0
44,V2J,22667.0
45,V2K,20924.0
46,V2L,9947.0
47,V2M,23318.0
48,V2N,32137.0
49,V2P,36329.0
50,V2R,48608.0
51,V2S,48647.0
52,V2T,56111.0
53,V2V,33534.0
54,V2W,19022.0
55,V2X,47944.0
56,V2Y,35222.0
57,V2Z,15520.0
58,V3A,42397.0
59,V3B,56524.0
60,V3C,38818.0
61,V3E,39365.0
62,V3G,24150.0
63,V3H,37222.0
64,V3J,40921.0
65,V3K,30495.0
66,V3L,27724.0
67,V3M,43423.0
68,V3N,39354.0
69,V3R,57844.0
70,V3S,95349.0
71,V3T,38549.0
72,V3V,48927.0
73,V3W,92447.0
74,V3X,28510.0
75,V3Y,18861.0
76,V3Z,29265.0
77,V4A,36390.0
78,V4B,19952.0
79,V4C,44169.0
80,V4E,11839.0
81,V4G,86.0
82,V4K,24414.0
83,V4L,7893.0
84,V4M,14512.0
85,V4N,78675.0
86,V4P,12224.0
87,V4R,15285.0
88,V4S,7326.0
89,V4T,27996.0
90,V4V,14614.0
91,V4W,19443.0
92,V4X,12774.0
93,V4Z,4851.0
94,V5A,23960.0
95,V5B,22454.0
96,V5C,30408.0
97,V5E,26272.0
98,V5G,19862.0
99,V5H,38845.0
100,V5J,21918.0
101,V5K,23016.0
102,V5L,19720.0
103,V5M,23053.0
104,V5N,35045.0
105,V5P,31920.0
106,V5R,46565.0
107,V5S,28773.0
108,V5T,23911.0
109,V5V,24560.0
110,V5W,19706.0
111,V5X,28820.0
112,V5Y,17201.0
113,V5Z,22547.0
114,V6A,18719.0
115,V6B,29376.0
116,V6C,2554.0
117,V6E,26907.0
118,V6G,27198.0
119,V6H,17848.0
120,V6J,22188.0
121,V6K,26424.0
122,V6L,10479.0
123,V6M,16348.0
124,V6N,14057.0
125,V6P,30697.0
126,V6R,19416.0
127,V6S,12152.0
128,V6T,12722.0
129,V6V,11177.0
130,V6W,1628.0
131,V6X,33695.0
132,V6Y,47768.0
133,V6Z,17832.0
134,V7A,26618.0
135,V7B,814.0
136,V7C,39252.0
137,V7E,37357.0
138,V7G,11673.0
139,V7H,13232.0
140,V7J,16743.0
141,V7K,12391.0
142,V7L,26608.0
143,V7M,20181.0
144,V7N,14883.0
145,V7P,13034.0
146,V7R,14770.0
147,V7S,10521.0
148,V7T,9274.0
149,V7V,14952.0
150,V7W,8611.0
151,V7X,0.0
152,V7Y,5.0
153,V8A,18135.0
154,V8B,11772.0
155,V8C,8131.0
156,V8G,19144.0
157,V8J,12275.0
158,V8K,10561.0
159,V8L,23422.0
160,V8M,16168.0
161,V8N,25065.0
162,V8P,18167.0
163,V8R,23572.0
164,V8S,17102.0
165,V8T,20136.0
166,V8V,25892.0
167,V8W,5201.0
168,V8X,23811.0
169,V8Y,9830.0
170,V8Z,31079.0
171,V9A,38699.0
172,V9B,44244.0
173,V9C,22785.0
174,V9E,5155.0
175,V9G,14772.0
176,V9H,9304.0
177,V9J,8715.0
178,V9K,15654.0
179,V9L,34378.0
180,V9M,17208.0
181,V9N,30080.0
182,V9P,25359.0
183,V9R,28376.0
184,V9S,16641.0
185,V9T,33103.0
186,V9V,10934.0
187,V9W,28743.0
188,V9X,10300.0
189,V9Y,25269.0
190,V9Z,17456.0
