,Coordinates
0,"[49.245232, -122.891738]"
1,"[49.242188, -122.88616]"
2,"[49.238593, -122.879538]"
3,"[49.23683, -122.870969]"
4,"[49.238202, -122.867437]"
5,"[49.239669, -122.86634]"
6,"[49.239688, -122.864689]"
7,"[49.240271, -122.862154]"
8,"[49.24154, -122.862168]"
9,"[49.242989, -122.862146]"
10,"[49.244894, -122.861682]"
11,"[49.244937, -122.856789]"
12,"[49.244978, -122.853637]"
13,"[49.24643, -122.852359]"
14,"[49.249301, -122.852352]"
15,"[49.251669, -122.852277]"
16,"[49.253833, -122.851604]"
17,"[49.253837, -122.848304]"
18,"[49.255151, -122.846332]"
19,"[49.256193, -122.852827]"
20,"[49.25621, -122.858252]"
21,"[49.256261, -122.863873]"
22,"[49.256296, -122.867867]"
23,"[49.258146, -122.870178]"
24,"[49.258179, -122.875986]"
25,"[49.258304, -122.879452]"
26,"[49.256786, -122.883596]"
27,"[49.256816, -122.887323]"
28,"[49.257165, -122.892856]"
29,"[49.258548, -122.892887]"
30,"[49.261209, -122.8898]"
31,"[49.247392, -122.894681]"
32,"[49.245722, -123.139081]"
33,"[49.24769, -123.139023]"
34,"[49.250127, -123.138924]"
35,"[49.252263, -123.138834]"
36,"[49.253467, -123.138804]"
37,"[49.257367, -123.138663]"
38,"[49.25921, -123.138595]"
39,"[49.261086, -123.138524]"
40,"[49.262957, -123.138459]"
41,"[49.265651, -123.138349]"
42,"[49.267404, -123.138259]"
43,"[49.276487, -123.127092]"
44,"[49.277584, -123.125372]"
45,"[49.279628, -123.122294]"
46,"[49.280784, -123.120537]"
47,"[49.282317, -123.118291]"
48,"[49.283461, -123.116549]"
49,"[49.284493, -123.114994]"
50,"[49.285553, -123.11335]"
51,"[49.284949, -123.111394]"
52,"[49.209141, -123.119749]"
53,"[49.207419, -123.123957]"
54,"[49.206184, -123.126813]"
55,"[49.20453, -123.131063]"
56,"[49.204167, -123.137246]"
57,"[49.205047, -123.139869]"
58,"[49.207431, -123.1404]"
59,"[49.208885, -123.14035]"
60,"[49.211168, -123.140317]"
61,"[49.213461, -123.140233]"
62,"[49.215299, -123.140165]"
63,"[49.216886, -123.140114]"
64,"[49.219694, -123.14]"
65,"[49.221123, -123.139943]"
66,"[49.222954, -123.139902]"
67,"[49.227422, -123.139703]"
68,"[49.229985, -123.139609]"
69,"[49.232803, -123.139507]"
70,"[49.234888, -123.139463]"
71,"[49.237418, -123.139374]"
72,"[49.239279, -123.13931]"
73,"[49.241186, -123.13924]"
74,"[49.243144, -123.139178]"
75,"[49.276811, -123.124629]"
76,"[49.278835, -123.121579]"
77,"[49.280537, -123.118869]"
78,"[49.282782, -123.115596]"
79,"[49.262693, -122.891678]"
80,"[49.258374, -122.893206]"
81,"[49.256749, -122.891542]"
82,"[49.25671, -122.886647]"
83,"[49.256676, -122.883392]"
84,"[49.258188, -122.879275]"
85,"[49.258085, -122.875359]"
86,"[49.25805, -122.870435]"
87,"[49.256205, -122.867421]"
88,"[49.256133, -122.862821]"
89,"[49.256081, -122.856991]"
90,"[49.25608, -122.851519]"
91,"[49.254901, -122.846529]"
92,"[49.253966, -122.847542]"
93,"[49.253561, -122.852368]"
94,"[49.251189, -122.852457]"
95,"[49.24851, -122.852517]"
96,"[49.245092, -122.853696]"
97,"[49.24504, -122.857931]"
98,"[49.244168, -122.8623]"
99,"[49.241402, -122.862326]"
100,"[49.239975, -122.862315]"
101,"[49.239768, -122.865624]"
102,"[49.237622, -122.86811]"
103,"[49.236997, -122.8711]"
104,"[49.23835, -122.878381]"
105,"[49.241094, -122.883614]"
106,"[49.243692, -122.888381]"
107,"[49.246476, -122.892587]"
108,"[49.213646, -123.140212]"
109,"[49.247483, -122.894695]"
110,"[49.261408, -122.889533]"
111,"[49.232256, -123.022286]"
112,"[49.218272, -122.953325]"
113,"[49.201084, -122.914338]"
114,"[49.212185, -122.95867]"
115,"[49.226075, -123.003116]"
116,"[49.230994, -123.007485]"
117,"[49.232578, -123.018383]"
118,"[49.232758, -123.015228]"
119,"[49.232442, -123.012251]"
120,"[49.231667, -123.009529]"
121,"[49.22788, -122.998247]"
122,"[49.226456, -122.993821]"
123,"[49.225627, -122.991138]"
124,"[49.224711, -122.988392]"
125,"[49.223354, -122.9841]"
126,"[49.222232, -122.980611]"
127,"[49.220688, -122.975657]"
128,"[49.219703, -122.971429]"
129,"[49.218854, -122.96752]"
130,"[49.218308, -122.964089]"
131,"[49.218363, -122.959902]"
132,"[49.21835, -122.957132]"
133,"[49.218084, -122.948848]"
134,"[49.217294, -122.945623]"
135,"[49.216272, -122.942494]"
136,"[49.214564, -122.939633]"
137,"[49.212449, -122.936712]"
138,"[49.210241, -122.933946]"
139,"[49.208747, -122.932063]"
140,"[49.207235, -122.930195]"
141,"[49.205908, -122.928499]"
142,"[49.204496, -122.926725]"
143,"[49.202926, -122.924753]"
144,"[49.20182, -122.923185]"
145,"[49.210902, -122.955497]"
146,"[49.210398, -122.953167]"
147,"[49.212611, -122.950256]"
148,"[49.214391, -122.946489]"
149,"[49.21627, -122.943021]"
150,"[49.16342, -123.13575]"
151,"[49.168113, -123.136389]"
152,"[49.195119, -123.126832]"
153,"[49.192839, -123.179978]"
154,"[49.284055, -123.11788]"
155,"[49.16418, -123.136438]"
156,"[49.169364, -123.136397]"
157,"[49.172376, -123.136489]"
158,"[49.174393, -123.136633]"
159,"[49.17774, -123.136504]"
160,"[49.180031, -123.136492]"
161,"[49.183917, -123.136493]"
162,"[49.186813, -123.134315]"
163,"[49.189129, -123.132066]"
164,"[49.191916, -123.126645]"
165,"[49.193083, -123.124259]"
166,"[49.192074, -123.125864]"
167,"[49.192077, -123.130861]"
168,"[49.191863, -123.141988]"
169,"[49.192228, -123.149378]"
170,"[49.193302, -123.160112]"
171,"[49.193302, -123.166999]"
172,"[49.191339, -123.174766]"
173,"[49.192131, -123.168739]"
174,"[49.19211, -123.16663]"
175,"[49.19212, -123.163918]"
176,"[49.192065, -123.159503]"
177,"[49.192037, -123.156142]"
178,"[49.192067, -123.153001]"
179,"[49.192045, -123.148208]"
180,"[49.192034, -123.145745]"
181,"[49.264166, -123.138406]"
182,"[49.209092, -123.116839]"
183,"[49.20366, -123.135845]"
184,"[49.283796, -123.11242]"
185,"[49.278073, -123.127493]"
186,"[49.283562, -123.123101]"
187,"[49.233799, -123.139775]"
188,"[49.195235, -123.126566]"
189,"[49.282906, -123.119595]"
190,"[49.281831, -123.121239]"
191,"[49.279698, -123.124449]"
192,"[49.277974, -123.127034]"
193,"[49.266704, -123.138572]"
194,"[49.26511, -123.138634]"
195,"[49.263073, -123.138707]"
196,"[49.261424, -123.138768]"
197,"[49.259524, -123.138834]"
198,"[49.257667, -123.138899]"
199,"[49.254178, -123.13903]"
200,"[49.252781, -123.139073]"
201,"[49.2505, -123.139186]"
202,"[49.248838, -123.139224]"
203,"[49.247117, -123.139304]"
204,"[49.244799, -123.139372]"
205,"[49.243257, -123.139423]"
206,"[49.241525, -123.139454]"
207,"[49.239615, -123.139528]"
208,"[49.237706, -123.139593]"
209,"[49.235947, -123.139659]"
210,"[49.235048, -123.139751]"
211,"[49.232098, -123.139799]"
212,"[49.230342, -123.139857]"
213,"[49.228469, -123.139921]"
214,"[49.226415, -123.139991]"
215,"[49.223822, -123.140097]"
216,"[49.221382, -123.140195]"
217,"[49.219566, -123.140281]"
218,"[49.217067, -123.140361]"
219,"[49.215526, -123.140408]"
220,"[49.213531, -123.140485]"
221,"[49.211828, -123.140547]"
222,"[49.210196, -123.140591]"
223,"[49.20811, -123.140711]"
224,"[49.205733, -123.140764]"
225,"[49.19205, -123.141337]"
226,"[49.190901, -123.13225]"
227,"[49.187772, -123.133706]"
228,"[49.185933, -123.135504]"
229,"[49.184003, -123.136747]"
230,"[49.182385, -123.136794]"
231,"[49.179089, -123.136785]"
232,"[49.176892, -123.136792]"
233,"[49.175085, -123.136923]"
234,"[49.172874, -123.13683]"
235,"[49.169807, -123.136683]"
236,"[49.165716, -123.13673]"
237,"[49.21392, -123.140853]"
238,"[49.20325, -123.132871]"
