Object ID;Bike Route Name;Street Name;Bikeway Type;Subtype;Status;Street Segment Type;Overall Direction;Bikeway Direction;Vehicle Direction;Speed Limit;Surface Type;AAA Network;AAA Segment;W/N Bound Type;E/S Bound Type;Snow Removal;Segment Length;Year of Construction;Construction Note;Upgrade Year;Notes;Geom
163348;Valley;Trafalgar;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;51.96821986;2004;;;;"{""coordinates"": [[-123.16442259808059, 49.27098882166678], [-123.16443997411137, 49.270521535083525], [-123.16443995749306, 49.27052149822687]], ""type"": ""LineString""}"
163351;14th Ave;W 14th Ave;Local Street;;Active;Residential;EW;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;45.83681552;2017;;;;"{""coordinates"": [[-123.11560557306433, 49.258742232985036], [-123.11623532745797, 49.25875243138203]], ""type"": ""LineString""}"
163357;Alexander;Alexander;Local Street;;Active;Residential;EW;2W;2W;30;Paved;YES;YES;Local Street;Local Street;Yes;101.71293391;2018;;;;"{""coordinates"": [[-123.09276021272697, 49.2839689569251], [-123.09136217475732, 49.28394349000195]], ""type"": ""LineString""}"
163367;Seaside Bypass;W 2nd Ave;Protected Bike Lanes;OSB;Active;Off-street;EW;BD;Off Street;;Paved;YES;YES;Protected Bike Lanes;Protected Bike Lanes;Yes;64.55169533;2009;2018- N: seperate lane from ped.;2018;;"{""coordinates"": [[-123.11461277440513, 49.26673690338521], [-123.11461283348979, 49.26673689433137], [-123.11481910355232, 49.26664377000471], [-123.11487939261373, 49.2666165670565], [-123.11534312729567, 49.266407244561734], [-123.11534317260296, 49.266407222028484]], ""type"": ""LineString""}"
163377;Wales Duchess;Duchess;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;57.2024899;2020;;;;"{""coordinates"": [[-123.04890384831059, 49.24247710515205], [-123.04933439046883, 49.2420466421032]], ""type"": ""LineString""}"
163383;Wales Duchess;Duchess;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;13.22659234;2020;;;;"{""coordinates"": [[-123.05214953995456, 49.239757043617146], [-123.0522474136225, 49.23965680139774]], ""type"": ""LineString""}"
163385;Wales Duchess;Wales;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;51.40198012;2020;;;;"{""coordinates"": [[-123.05166223060075, 49.232239578056], [-123.05165453856048, 49.23177723175223]], ""type"": ""LineString""}"
163391;Inverness;Inverness;Local Street;;Active;Residential;NS;2W;2W;30;Paved;NO;NO;Local Street;Local Street;No;48.04743118;2003;year const- source unknown;;;"{""coordinates"": [[-123.07989107047985, 49.21153590159226], [-123.07989930556214, 49.21110377670974], [-123.07989931236048, 49.21110373532673]], ""type"": ""LineString""}"
163396;Fraser River Trail;Off Street;Protected Bike Lanes;OSS;Active;Off-street;EW;2W;Off Street;;Unpaved;NO;NO;Protected Bike Lanes;Protected Bike Lanes;No;409.12159835;1990;;;;"{""coordinates"": [[-123.15558343545575, 49.210727602616316], [-123.15548582957899, 49.210727734045186], [-123.15546738925799, 49.21072654450196], [-123.15546109691935, 49.2107261391875], [-123.15543735647638, 49.21072133167038], [-123.15541690360055, 49.210714090996284], [-123.15539888712458, 49.21070444529806], [-123.15424159146605, 49.20997339651557], [-123.15352791489427, 49.209534885883045], [-123.15351763108552, 49.20952857586046], [-123.153189480075, 49.20932754215025], [-123.15313199800487, 49.209299383943815], [-123.15306653674398, 49.20928023787273], [-123.15306649964097, 49.20928022712756], [-123.1529280283181, 49.209238228912895], [-123.15285839520834, 49.209203180070496], [-123.15282858744352, 49.20918817668393], [-123.15277175496875, 49.209114955514764], [-123.1527474900425, 49.209064349499165], [-123.15271461633205, 49.20901582737592], [-123.15268497231406, 49.20898439563026], [-123.15268494340194, 49.20898436958209], [-123.15264807595891, 49.20895637907956], [-123.1524824889921, 49.20889032136588], [-123.15224145439359, 49.20881374483587], [-123.15214751536513, 49.20878392327793], [-123.15205475477748, 49.208739887527365], [-123.15199072359991, 49.20867764520642], [-123.1516095460004, 49.20824920553069]], ""type"": ""LineString""}"
163405;10th Ave;W 10th Ave;Protected Bike Lanes;R;Active;Residential;EW;2W;OW;30;Paved;NO;YES;Protected Bike Lanes;Protected Bike Lanes;Yes;89.80035488;2004;2009- protected;2009;;"{""coordinates"": [[-123.11368594235667, 49.26223252567208], [-123.1149198113581, 49.2622522368631]], ""type"": ""LineString""}"
