Departure,Return,Bike,Departure station,Return station,Formula,Covered distance (m),Duration (sec.),Departure battery voltage (mV),Return battery voltage (mV),Departure temperature (°C),Return temperature (°C),Stopover duration (sec.),Number of stopovers
2/1/2018 0:00,2/1/2018 0:00,333,0093 Chilco & Robson,0032 Comox & Denman,365 Corporate Standard,775,184,3860,3966,5,6,0,0
2/1/2018 0:00,2/1/2018 0:00,378,0012 Dunsmuir & Richards,0167 Cordova & Columbia,90 Day,1245,341,3706,3827,6,8,0,0
2/1/2018 0:00,2/1/2018 0:00,138,0014 Canada Place,0140 Burrard & 7th,365 Day Founding Plus,3979,844,3852,4032,6,8,0,0
2/1/2018 0:00,2/1/2018 0:00,1039,0024 Hornby & Pender,0070 10th & Granville,365 Day Founding Standard,4431,995,3890,4148,7,9,0,0
2/1/2018 0:00,2/1/2018 0:00,289,0089 Burrard & Drake,0148 Quebec & Milross,365 Day Founding Plus,3371,823,3769,3926,6,8,0,0
1/31/2018 23:00,2/1/2018 0:00,113,0019 Robson & Hornby,0033 Robson & Denman,90 Day,1366,342,0,3790,0,8,0,0
1/31/2018 23:00,1/31/2018 23:00,13,0129 Richards & Robson,0082 Richards & Davie,365 Day Founding Standard,673,232,3840,3964,5,7,0,0
1/31/2018 23:00,1/31/2018 23:00,1087,0019 Robson & Hornby,0088 Harwood & Bute,365 Day Founding Standard,1408,328,3787,3935,6,8,0,0
1/31/2018 23:00,1/31/2018 23:00,268,0078 Nelson & Mainland,0174 1st & Ontario,Archived Monthly Plus,2344,626,3871,4100,5,6,0,0
1/31/2018 23:00,1/31/2018 23:00,378,0037 Hornby & Nelson,0012 Dunsmuir & Richards,365 Day Founding Plus,1261,490,3692,3819,5,7,0,0
1/31/2018 23:00,1/31/2018 23:00,580,0037 Hornby & Nelson,0027 Beatty & Nelson,365 Day Founding Plus,869,267,3563,3784,5,5,0,0
1/31/2018 23:00,1/31/2018 23:00,421,0019 Robson & Hornby,0040 Cardero & Davie,365 Standard,1864,397,3827,3961,6,8,0,0
1/31/2018 23:00,1/31/2018 23:00,113,0026 Beatty & Robson,0019 Robson & Hornby,Archived Monthly Plus,888,395,3690,3798,5,4,0,0
1/31/2018 22:00,1/31/2018 23:00,415,0001 10th & Cambie,0134 14th & Main,365 Corporate Standard,1457,481,3615,3748,5,7,0,0
1/31/2018 22:00,1/31/2018 22:00,1232,0002 Burrard Station,0027 Beatty & Nelson,365 Standard,1733,428,3769,3935,5,8,0,0
1/31/2018 22:00,1/31/2018 22:00,115,0087 Broughton & Burnaby,0115 Cypress & 16th,365 Standard,4024,949,3744,4124,5,7,0,0
1/31/2018 22:00,1/31/2018 22:00,383,0187 Bute & Davie,0060 Bidwell & Burnaby,Archived Monthly Standard,912,191,3689,3761,5,7,0,0
1/31/2018 22:00,1/31/2018 22:00,333,0032 Comox & Denman,0093 Chilco & Robson,365 Corporate Standard,773,242,3858,3956,5,7,0,0
1/31/2018 22:00,1/31/2018 22:00,367,0032 Comox & Denman,0088 Harwood & Bute,365 Standard,1296,412,3650,3782,5,6,0,0
1/31/2018 22:00,1/31/2018 22:00,992,0025 Homer & Robson,0037 Hornby & Nelson,365 Day Founding Plus,892,307,3848,3969,5,7,0,0
1/31/2018 22:00,1/31/2018 22:00,38,0066 Anderson & 2nd,0069 7th & Granville,365 Plus,584,223,3776,3918,6,6,0,0
1/31/2018 22:00,1/31/2018 22:00,625,0208 Arbutus Greenway & Broadway,0165 Columbia & 4th,Archived Monthly Standard,3651,1145,3673,3885,5,7,0,0
1/31/2018 22:00,1/31/2018 22:00,256,0012 Dunsmuir & Richards,0081 7th & Heather,365 Standard,2687,638,3961,4192,5,7,0,0
1/31/2018 22:00,1/31/2018 22:00,597,0165 Columbia & 4th,0083 Aquatic Centre,365 Standard,4024,988,3889,4129,4,7,0,0
1/31/2018 21:00,1/31/2018 22:00,378,0063 Robson & Granville,0037 Hornby & Nelson,Archived Monthly Plus,492,182,3690,3776,5,7,0,0
1/31/2018 21:00,1/31/2018 22:00,1164,0601 Olympic Village Station,0057 Marinaside & Cooperage,365 Standard,1070,436,3784,3893,5,6,0,0
1/31/2018 21:00,1/31/2018 21:00,993,0129 Richards & Robson,0187 Bute & Davie,365 Day Founding Standard,1717,547,3681,3834,5,6,0,0
1/31/2018 21:00,1/31/2018 21:00,1232,0196 Drake & Hornby,0002 Burrard Station,90 Day,1541,490,3735,3905,5,7,0,0
1/31/2018 21:00,1/31/2018 22:00,580,0025 Homer & Robson,0037 Hornby & Nelson,365 Day Founding Plus,4806,3180,3627,3781,5,6,1391,2
1/31/2018 21:00,1/31/2018 21:00,113,0012 Dunsmuir & Richards,0026 Beatty & Robson,365 Day Founding Standard,771,307,3690,3782,4,6,0,0
1/31/2018 21:00,1/31/2018 21:00,1453,0080 Laurel & Broadway,0137 Beach & Seymour,Archived Monthly Standard,4296,1315,3939,4201,5,5,0,0
1/31/2018 21:00,1/31/2018 21:00,807,0066 Anderson & 2nd,0011 Ontario & Seawall,365 Day Founding Plus,3150,866,3992,4171,5,7,0,0
1/31/2018 21:00,1/31/2018 21:00,1330,0015 Granville & Georgia,0030 Abbott & Cordova,365 Day Founding Plus,1221,335,3661,3808,4,7,0,0
1/31/2018 21:00,1/31/2018 21:00,1419,0030 Abbott & Cordova,0008 8th & Ash,365 Standard,2811,742,3756,4076,5,7,0,0
