Departure,Return,Bike,Departure station,Return station,Membership type,Covered distance (m),Duration (sec.),Departure battery voltage (mV),Return battery voltage (mV),Departure temperature (C),Return temperature (C),Stopover duration (sec.),Number of stopovers
2020-12-01 0:00,2020-12-01 0:00,961,0143 South False Creek Seawall,0218 Carrall & Seawall,24 Hour,3089,1281,3885,4030,4,6,0,0
2020-12-01 0:00,2020-12-01 0:00,1846,0143 South False Creek Seawall,0218 Carrall & Seawall,24 Hour,3073,1494,3750,3613,4,5,0,0
2020-12-01 0:00,2020-12-01 0:00,1995,0036 Bute & Robson,0044 Pacific & Richards,365 Corporate Plus Renewal,2017,412,3855,4069,6,9,0,0
2020-12-01 0:00,2020-12-01 0:00,1,0002 Burrard Station (Melville & Dunsmuir),0089 Burrard & Drake,365 Standard,1208,372,4047,4188,6,6,0,0
2020-11-30 23:00,2020-11-30 23:00,625,0045 Beach & Hornby,0161 Alexander & Dunlevy,365 Standard,4388,862,3998,4196,7,9,0,0
2020-11-30 23:00,2020-11-30 23:00,428,0053 Keefer & Abbott,0074 10th & Main,365 Corporate Standard Renewal,2444,694,3803,3982,7,7,0,0
2020-11-30 23:00,2020-11-30 23:00,1354,0282 14th & Fraser,0199 Georgia & Main,365 Plus,3448,817,3790,3979,3,7,0,0
2020-11-30 23:00,2020-11-30 23:00,649,0019 Robson & Hornby,0027 Beatty & Nelson,365 Standard,1556,657,3771,3924,7,7,0,0
2020-11-30 23:00,2020-11-30 23:00,912,0036 Bute & Robson,0060 Bidwell & Burnaby,30 Day Pass,1570,466,3734,3982,7,7,0,0
2020-11-30 23:00,2020-11-30 23:00,471,0138 Richards & Helmcken,0035 Coal Harbour Community Centre,365 Plus,2201,508,3552,3734,7,9,0,0
2020-11-30 23:00,2020-11-30 23:00,471,0138 Richards & Helmcken,0138 Richards & Helmcken,365 Plus,0,16,3555,3689,7,6,0,0
2020-11-30 23:00,2020-12-01 0:00,90,0218 Carrall & Seawall,0143 South False Creek Seawall,24 Hour,6816,4114,3943,4222,5,7,0,0
2020-11-30 23:00,2020-12-01 0:00,26,0218 Carrall & Seawall,0143 South False Creek Seawall,24 Hour,7048,4267,3710,3987,6,7,0,0
2020-11-30 23:00,2020-11-30 23:00,1528,0114 Cypress & 14th,0071 14th & Granville,30 Day Pass,708,197,3715,3910,6,8,0,0
2020-11-30 23:00,2020-11-30 23:00,963,0006 Olympic Village Station,0191 7th & Laurel,365 Corporate Standard,698,232,3966,4072,5,6,0,0
2020-11-30 22:00,2020-11-30 23:00,2106,0246 Glen & Broadway,0244 10th & Commercial,Community Pass,929,298,3539,3542,5,6,0,0
