Departure,Return,Bike,Departure station,Return station,Formula,Covered distance (m),Duration (sec.),Departure battery voltage (mV),Return battery voltage (mV),Departure temperature (C),Return temperature (C),Stopover duration (sec.),Number of bike stopovers
2021-03-01 0:00,2021-03-01 0:00,1264,0080 Laurel & Broadway,0112 10th & Oak,30 Day Pass,224,130,3552,3734,8,6,0,0
2021-03-01 0:00,2021-03-01 0:00,2085,0033 Robson & Denman,0083 Aquatic Centre,365 Standard,1962,502,3821,4022,8,6,0,0
2021-03-01 0:00,2021-03-01 0:00,1264,0112 10th & Oak,0080 Laurel & Broadway,30 Day Pass,247,134,3637,3735,8,7,0,0
2021-03-01 0:00,2021-03-01 0:00,1783,0019 Robson & Hornby,0129 Richards & Robson,30 Day Pass,559,186,3926,3993,10,10,0,0
2021-03-01 0:00,2021-03-01 0:00,1264,0080 Laurel & Broadway,0112 10th & Oak,30 Day Pass,224,144,3561,3735,8,6,0,0
2021-03-01 0:00,2021-03-01 0:00,429,0064 Expo & Smithe,0053 Keefer & Abbott,365 Plus,739,246,3602,3710,9,10,0,0
2021-03-01 0:00,2021-03-01 0:00,756,0055 Keefer & Columbia,0058 Homer & Smithe,365 Plus,1621,400,3735,3860,8,10,0,0
2021-03-01 0:00,2021-03-01 0:00,1264,0112 10th & Oak,0080 Laurel & Broadway,30 Day Pass,247,131,3645,3739,8,7,0,0
2021-03-01 0:00,2021-03-01 0:00,713,0026 Beatty & Robson,0058 Homer & Smithe,365 Corporate Plus Renewal,545,166,3792,3869,8,9,0,0
2021-03-01 0:00,2021-03-01 0:00,1609,0028 Davie & Beach,0008 8th & Ash,365 Plus,4572,1297,3805,3972,9,9,0,0
2021-03-01 0:00,2021-03-01 0:00,600,0096 Nicola & Robson,0096 Nicola & Robson,365 Day Founding Plus,2013,738,4127,4272,9,10,0,0
2021-02-28 23:00,2021-02-28 23:00,1264,0080 Laurel & Broadway,0112 10th & Oak,30 Day Pass,226,159,3558,3744,8,6,0,0
2021-02-28 23:00,2021-03-01 0:00,1666,0123 Georgia & Thurlow,0089 Burrard & Drake,365 Corporate Plus Renewal,1249,360,3681,3735,9,9,0,0
2021-02-28 23:00,2021-02-28 23:00,1133,0002 Burrard Station (Melville & Dunsmuir),0096 Nicola & Robson,365 Standard,1137,309,3561,3716,9,11,0,0
2021-02-28 23:00,2021-02-28 23:00,1264,0112 10th & Oak,0080 Laurel & Broadway,30 Day Pass,249,132,3631,3735,8,7,0,0
2021-02-28 23:00,2021-02-28 23:00,2085,0014 Canada Place,0033 Robson & Denman,365 Day Founding Standard,2042,547,3761,3934,7,8,0,0
