,lat,long,station,postal_code,parks,stops,bike_ways,population
0,49.28322689999999,-123.120523,0099 Vancouver Art Gallery - North Plaza,V6Z,0.3333333333333333,0.8064516129032258,0.8064516129032258,0.31773785334901794
338,49.2808764,-123.1306798,0126 Thurlow & Pendrell,V6E,0.3333333333333333,0.3548387096774194,0.3548387096774194,0.4794852600434891
367,49.262141,-123.101961,0074 10th & Main,V5T,0.5,0.27956989247311825,0.27956989247311825,0.4260863365771932
369,49.27456600000001,-123.121817,0004 Yaletown-Roundhouse Station,V6B,0.8333333333333334,0.3548387096774194,0.3548387096774194,0.5234912487078031
396,49.26560500000001,-123.152566,0109 7th & Arbutus,V6J,0.5,0.21505376344086022,0.21505376344086022,0.3953766085623641
411,49.282758,-123.122092,0019 Robson & Hornby,V6Z,0.16666666666666666,0.7096774193548387,0.7096774193548387,0.31773785334901794
572,49.28590800000001,-123.1271193,0036 Bute & Robson,V6E,0.8333333333333334,0.3978494623655914,0.3978494623655914,0.4794852600434891
710,49.27784399999999,-123.1209419,0079 Nelson & Richards,V6B,0.6666666666666666,0.5806451612903226,0.5806451612903226,0.5234912487078031
735,49.258425,-123.100792,0134 14th & Main,V5T,0.6666666666666666,0.21505376344086022,0.21505376344086022,0.4260863365771932
764,49.27557590000001,-123.1170684,0027 Beatty & Nelson,V6Z,0.8333333333333334,0.24731182795698925,0.24731182795698925,0.31773785334901794
783,49.2764359,-123.11877,0078 Nelson & Mainland,V6B,1.0,0.43010752688172044,0.43010752688172044,0.5234912487078031
807,49.2624213,-123.1396127,0070 10th & Granville,V6H,0.16666666666666666,0.26881720430107525,0.26881720430107525,0.3180230278401597
837,49.282409,-123.118541,0015 Granville & Georgia,V7Y,0.3333333333333333,0.9139784946236559,0.9139784946236559,0.0
950,49.28062000000001,-123.12482,0037 Hornby & Nelson,V6Z,0.5,0.5376344086021505,0.5376344086021505,0.31773785334901794
1144,49.279342,-123.101822,0055 Keefer & Columbia,V6A,0.5,0.5053763440860215,0.5053763440860215,0.33354721420168965
1156,49.28150600000001,-123.120101,0063 Robson & Granville,V6Z,0.5,0.8064516129032258,0.8064516129032258,0.31773785334901794
1387,49.26501839999999,-123.1238522,0191 7th & Laurel,V5Z,0.5,0.21505376344086022,0.21505376344086022,0.4017752112073575
1389,49.263088,-123.12415,0080 Laurel & Broadway,V5Z,0.5,0.24731182795698925,0.24731182795698925,0.4017752112073575
1390,49.283343,-123.1310991,0050 Bute & Comox,V6E,0.3333333333333333,0.27956989247311825,0.27956989247311825,0.4794852600434891
1504,49.279764,-123.110154,0005 Dunsmuir & Beatty,V6B,0.8333333333333334,0.5698924731182796,0.5698924731182796,0.5234912487078031
